Date,Total Confirmed,Total Recovered,Total Deceased
2020-03-15,107,9,2
2020-03-31,1397,124,35
2020-04-15,12380,1489,414
2020-04-30,33050,8437,1074
2020-05-15,85940,30153,2752
2020-05-31,190609,91852,5394
2020-06-15,343091,180013,9900
2020-06-30,566840,334822,16993
2020-07-15,936181,592032,24309
2020-07-31,1695988,1104361,36511
2020-08-15,2536148,1815530,49036
2020-08-31,3649665,2778179,64067
2020-09-15,5020359,3951235,82066
2020-09-30,6271684,5191411,97529
2020-10-15,7307090,6474464,111266
2020-10-31,8184083,7426416,121641
2020-11-15,8905851,8340089,130993
2020-11-30,9483490,8929460,138122
2020-12-15,9906165,9407336,144096
2020-12-31,10266674,9872271,148738
